,value
年化收益(组合),-0.06325321999675759
年化收益(基准),-0.0229548568972735
年化超额收益,-0.04124513937146412
信息比率,-1.1802270707896751
最大回撤(超额),0.06956429413883204
最大回撤(组合),0.16217129450639545
年化单边换手率,13.983438430878493
月度胜率,0.3333333333333333
回测交易日数,239.0
