,port_ret,bench_ret
2023-01-06,0.0,0.0
2023-01-09,-0.0017668981704194175,-0.0007232975962091492
2023-01-10,-0.0007707887828326369,-0.0016460391861841599
2023-01-11,-0.007003363034319656,-0.004566361919992261
2023-01-12,-0.0003907164948138216,-0.0003125632080762707
2023-01-13,0.012698221348442817,0.009221684472352332
2023-01-16,0.010461707232061634,0.010309682667972275
2023-01-17,0.0004908675385252189,-0.0008159795940338052
2023-01-18,0.002561111657259441,0.002883738399243015
2023-01-19,0.00860150695094478,0.007915524731365964
2023-01-20,0.00920133205672002,0.00918979034580316
2023-01-30,0.005412437113234025,0.005438043804081527
2023-01-31,0.0001254679788206808,0.0016880813270695994
2023-02-01,0.012145278351517779,0.012810478580347402
2023-02-02,0.0018171932605797311,0.0004130170471169447
2023-02-03,-0.005650800026771227,-0.004440863943040959
2023-02-06,-0.00729086783637245,-0.004508511660484493
2023-02-07,0.004015262409050001,0.0048525211503447725
2023-02-08,-0.004742025095781858,-0.00660483649992322
2023-02-09,0.011848521491567439,0.012166227422199206
2023-02-10,-0.0027627559314008176,-0.00023339150008144647
2023-02-13,0.012664978883192735,0.008568089958202796
2023-02-14,0.003292681251935541,0.0021525538255178253
2023-02-15,-0.005088450236076349,-0.00047764257281212425
2023-02-16,-0.01366050772883258,-0.01359181698156432
2023-02-17,-0.007020677791446552,-0.0061975111230668685
2023-02-20,0.019886936446393833,0.0184697013081474
2023-02-21,0.004601677182730378,0.0066177450350786175
2023-02-22,-0.0027031907296565217,-0.0012751738628358617
2023-02-23,-0.0032833877784222264,-0.0038784592304411418
2023-02-24,-0.00556893923668564,-0.002981396408688487
2023-02-27,-0.0051388883772593985,-0.006017298407838267
2023-02-28,0.009609439068088785,0.009303265627049183
2023-03-01,0.008935993642892479,0.009979344175467116
2023-03-02,-0.001650508478301781,-9.112321109070143e-05
2023-03-03,-0.001241655010426071,0.002463136184688114
2023-03-06,-0.0007867975253468273,-0.001613726202500665
2023-03-07,-0.018186077628462943,-0.016813658793494935
2023-03-08,0.0022059710921203336,0.003491993535934819
2023-03-09,-0.001975726637743511,-0.002020675890420879
2023-03-10,-0.011308940855180739,-0.013642127129532465
2023-03-13,0.006651175133493448,0.00789469966486922
2023-03-14,-0.011692578291370274,-0.009404756785488693
2023-03-15,0.006212277286646652,0.008291889323212134
2023-03-16,-0.013083561377438073,-0.012335339516856935
2023-03-17,0.0010790206251775865,0.008810025932392919
2023-03-20,-0.006959597326221201,-0.0038586541398083485
2023-03-21,0.014826909062963948,0.009746473017865794
2023-03-22,0.004046646362008921,0.006384586825598689
2023-03-23,0.002235601315662635,0.004506249060659207
2023-03-24,-0.000838488172360913,-0.0002440104310434555
2023-03-27,-0.00013078493411489145,-0.001832935416822723
2023-03-28,0.0007622007923151115,-0.0034310825286167027
2023-03-29,-0.0019231418231533816,-0.004248718759852381
2023-03-30,0.004172262559469694,0.0010777681673880563
2023-03-31,0.009652500357130122,0.009913159757167849
2023-04-03,0.006990100061908144,0.01097332435064624
2023-04-04,-0.0003259728522430668,0.0014599824801010482
2023-04-06,-0.0004700932209677329,-0.0012788748254172568
2023-04-07,0.009918855174050795,0.007090374390579257
2023-04-10,-0.007759078391025742,-0.009076629691769478
2023-04-11,0.0009224278855843767,0.00432505585614527
2023-04-12,0.00497017138076564,0.005574631421118581
2023-04-13,-0.002998364214907405,-0.004338441045041881
2023-04-14,0.0010395926295325467,0.0023038055586616286
2023-04-17,0.004942953368739511,0.005220361705896126
2023-04-18,-0.0025405581180282365,-0.0013285641798342922
2023-04-19,-0.005503210197469938,-0.005736522177583714
2023-04-20,-0.004475562557991862,-0.0007566066842988039
2023-04-21,-0.022964202285136372,-0.022518601228743294
2023-04-24,-0.01195824914987098,-0.005612272598256696
2023-04-25,-0.00976555820076583,-0.01165446490322656
2023-04-26,0.0035911114637286984,0.0024452553698486525
