,IC_mean,IC_std,ICIR,IC_positive_ratio,n_days
gru,0.028884509897937,0.09939353949449287,0.2906075188069685,0.6313559322033898,236.0
lstm,0.03274259084167533,0.09837357131325677,0.33283930231028375,0.6016949152542372,236.0
mlp,0.020982843554995263,0.08586867382211384,0.24435970210118152,0.5932203389830508,236.0
