,value
年化收益(组合),0.002287832649010335
年化收益(基准),-0.0229548568972735
年化超额收益,0.025835745384417574
信息比率,0.7243146687048558
最大回撤(超额),0.0208823678957822
最大回撤(组合),0.13669579440907498
年化单边换手率,3.9513580309424214
月度胜率,0.5
回测交易日数,239.0
