,value
年化收益(组合),-0.0032093628899515503
年化收益(基准),-0.0229548568972735
年化超额收益,0.020209397842783083
信息比率,0.5251931224911668
最大回撤(超额),0.030638900946072585
最大回撤(组合),0.1471989068191984
年化单边换手率,5.751640063793687
月度胜率,0.4166666666666667
回测交易日数,239.0
