,value
年化收益(组合),-0.046595234182725154
年化收益(基准),-0.0229548568972735
年化超额收益,-0.02419578813971568
信息比率,-0.5424428884175863
最大回撤(超额),0.04950506599732069
最大回撤(组合),0.17011305371419272
年化单边换手率,20.47443468200652
月度胜率,0.3333333333333333
回测交易日数,239.0
