,rank_ic
2023-01-03,0.16456060847149945
2023-01-04,0.1320534387284315
2023-01-05,0.09631039754878204
2023-01-06,0.07696445055616759
2023-01-09,0.04640674742879151
2023-01-10,0.14329552799292275
2023-01-11,0.1350889344388881
2023-01-12,0.11355391864810702
2023-01-13,0.15911291111291112
2023-01-16,0.14496657696657697
2023-01-17,0.13806009006009007
2023-01-18,0.10010106410106412
2023-01-19,0.0866025626025626
2023-01-20,0.03467758667758668
2023-01-30,-0.005254637254637255
2023-01-31,0.01952606714931364
2023-02-01,0.0834377102553455
2023-02-02,0.09194071024932746
2023-02-03,0.1610490410249929
2023-02-06,0.19263929661124046
2023-02-07,0.13326211582323805
2023-02-08,0.05102839914062358
2023-02-09,0.13752333495820465
2023-02-10,0.047504185548273715
2023-02-13,0.02361575410164399
2023-02-14,0.008363092551469303
2023-02-15,0.08486804239108847
2023-02-16,-0.005642045642045642
2023-02-17,0.06154473754473755
2023-02-20,0.09241445641445642
2023-02-21,0.09395799395799398
2023-02-22,0.047965055965055965
2023-02-23,-0.019052239052239052
2023-02-24,-0.020724188724188724
2023-02-27,-0.04543134943134943
2023-02-28,-0.006796806796806798
2023-03-01,0.010713490713490714
2023-03-02,-0.03686250086250086
2023-03-03,-0.05179009579009579
2023-03-06,-0.047829923829923834
2023-03-07,-0.05703966903966905
2023-03-08,-0.004750936750936751
2023-03-09,-0.08310484031125313
2023-03-10,-0.1152267034181314
2023-03-13,-0.07223315098665799
2023-03-14,-0.11139064524270241
2023-03-15,-0.1259330191915362
2023-03-16,-0.05883142862301178
2023-03-17,-0.0217618257047165
2023-03-20,-0.05806824459730271
2023-03-21,-0.03391952624620568
2023-03-22,0.04132505250741723
2023-03-23,0.1117870117870118
2023-03-24,0.07855235997520565
2023-03-27,-0.021523070164352724
2023-03-28,-0.04462029163431968
2023-03-29,-0.0414215337582071
2023-03-30,0.01838469605498146
2023-03-31,0.036056287321103817
2023-04-03,0.035769304579743914
2023-04-04,0.006194158854544821
2023-04-06,-0.015302975612762688
2023-04-07,-0.031093328274172306
2023-04-10,-0.06661123307455089
2023-04-11,-0.037183804025411014
2023-04-12,-0.035599737038723336
2023-04-13,-0.0945381837497061
2023-04-14,-0.1606429496859122
2023-04-17,-0.13647711037690996
2023-04-18,-0.000989850218900094
2023-04-19,0.12096237438597185
2023-04-20,0.10297710852079368
2023-04-21,0.12004689029009681
2023-04-24,0.10837312837312837
2023-04-25,0.07246584460211714
2023-04-26,-0.009527641281523787
2023-04-27,0.009101779588469638
2023-04-28,-0.04180325104314612
2023-05-04,-0.0029061245614351817
2023-05-05,0.026976993025089213
2023-05-08,0.18188098835463828
2023-05-09,0.19142802156974933
2023-05-10,0.11734979864820287
2023-05-11,0.02408628668748909
2023-05-12,0.05983230123911485
2023-05-15,0.01597261790848965
2023-05-16,-0.03345198505118344
2023-05-17,-0.010510967881709363
2023-05-18,0.03388008603856548
2023-05-19,-0.04936001140446138
2023-05-22,-0.04280220466052511
2023-05-23,-0.07599608827264137
2023-05-24,-0.14990681663627553
2023-05-25,-0.15186896315152826
2023-05-26,-0.1666957578821306
2023-05-29,-0.18014895857781626
2023-05-30,-0.1861570134706176
2023-05-31,-0.13517672421236823
2023-06-01,-0.2048360744790716
2023-06-02,-0.20868070398826996
2023-06-05,-0.100473632792043
2023-06-06,-0.02136173757450413
2023-06-07,0.12536957759823644
2023-06-08,0.16470247401710325
2023-06-09,0.1140894564391508
