,value
年化收益(组合),-0.019891965313738935
年化收益(基准),-0.0229548568972735
年化超额收益,0.0031348516546616523
信息比率,0.122799260567367
最大回撤(超额),0.04014941265570681
最大回撤(组合),0.15342742580258353
年化单边换手率,9.247349420007595
月度胜率,0.4166666666666667
回测交易日数,239.0
