,value
年化收益(组合),-0.0794392554732063
年化收益(基准),-0.0229548568972735
年化超额收益,-0.05781145218793027
信息比率,-2.3954692629322776
最大回撤(超额),0.06606443376285107
最大回撤(组合),0.17045811554232715
年化单边换手率,20.32580090459651
月度胜率,0.3333333333333333
回测交易日数,239.0
