,value
年化收益(组合),-0.025803525539653482
年化收益(基准),-0.0229548568972735
年化超额收益,-0.002915595725018094
信息比率,-0.022998520262676028
最大回撤(超额),0.04468001170737856
最大回撤(组合),0.16166738391471352
年化单边换手率,12.679407375000633
月度胜率,0.4166666666666667
回测交易日数,239.0
