,value
年化收益(组合),-0.12834962094350988
年化收益(基准),-0.0229548568972735
年化超额收益,-0.10787092570926915
信息比率,-2.772379170616278
最大回撤(超额),0.11930959698855755
最大回撤(组合),0.21871851658435865
年化单边换手率,26.60497653308303
月度胜率,0.25
回测交易日数,239.0
