,port_ret,bench_ret
2023-01-06,0.0,0.0
2023-01-09,-0.001783797874176818,-0.0007232975962091492
2023-01-10,-0.00023857019757629562,-0.0016460391861841599
2023-01-11,-0.005255184813514897,-0.004566361919992261
2023-01-12,-0.0011207668381692133,-0.0003125632080762707
2023-01-13,0.014434527223629517,0.009221684472352332
2023-01-16,0.008304633059692222,0.010309682667972275
2023-01-17,-0.0021818932926843245,-0.0008159795940338052
2023-01-18,0.0004124112325045131,0.002883738399243015
2023-01-19,0.010424198018302949,0.007915524731365964
2023-01-20,0.008199927166443022,0.00918979034580316
2023-01-30,0.0050564696293698705,0.005438043804081527
2023-01-31,-0.001914389268253104,0.0016880813270695994
2023-02-01,0.009753360618619452,0.012810478580347402
2023-02-02,0.0019943538914789765,0.0004130170471169447
2023-02-03,-0.004486073784370168,-0.004440863943040959
2023-02-06,-0.0043643421570891,-0.004508511660484493
2023-02-07,0.003715308194813977,0.0048525211503447725
2023-02-08,-0.005717184677621723,-0.00660483649992322
2023-02-09,0.01163797742519707,0.012166227422199206
2023-02-10,0.002180057318727044,-0.00023339150008144647
2023-02-13,0.008646707451283264,0.008568089958202796
2023-02-14,0.0006041913216953071,0.0021525538255178253
2023-02-15,0.0010518290828695086,-0.00047764257281212425
2023-02-16,-0.011948481547998295,-0.01359181698156432
2023-02-17,-0.010060860583245271,-0.0061975111230668685
2023-02-20,0.020115351291276812,0.0184697013081474
2023-02-21,0.002626916702439827,0.0066177450350786175
2023-02-22,-0.0014357140915397357,-0.0012751738628358617
2023-02-23,-0.0063287208723404025,-0.0038784592304411418
2023-02-24,-0.0023114326348522385,-0.002981396408688487
2023-02-27,-0.0064356837509701404,-0.006017298407838267
2023-02-28,0.011322235434446076,0.009303265627049183
2023-03-01,0.015146808669774716,0.009979344175467116
2023-03-02,0.00034399142675590577,-9.112321109070143e-05
2023-03-03,-0.0014138207517973896,0.002463136184688114
2023-03-06,-0.002618212702648583,-0.001613726202500665
2023-03-07,-0.019353693414890367,-0.016813658793494935
2023-03-08,0.005305147575202562,0.003491993535934819
2023-03-09,-0.0010421821817640318,-0.002020675890420879
2023-03-10,-0.011409094807626141,-0.013642127129532465
2023-03-13,0.010188319805593204,0.00789469966486922
2023-03-14,-0.00982945317475163,-0.009404756785488693
2023-03-15,0.0025105458813769353,0.008291889323212134
2023-03-16,-0.011470125071658798,-0.012335339516856935
2023-03-17,0.01048021240655829,0.008810025932392919
2023-03-20,-0.003551604562443444,-0.0038586541398083485
2023-03-21,0.014789079466199381,0.009746473017865794
2023-03-22,0.007406931696589722,0.006384586825598689
2023-03-23,0.007802424885352013,0.004506249060659207
2023-03-24,0.003672458070487988,-0.0002440104310434555
2023-03-27,0.003966223316125141,-0.001832935416822723
2023-03-28,-0.005282323221910607,-0.0034310825286167027
2023-03-29,-0.0009622118286973727,-0.004248718759852381
2023-03-30,-0.0005049483843739394,0.0010777681673880563
2023-03-31,0.01743184590778304,0.009913159757167849
2023-04-03,0.019362873742451728,0.01097332435064624
2023-04-04,-0.0009613937487529308,0.0014599824801010482
2023-04-06,-0.006343083219739252,-0.0012788748254172568
2023-04-07,0.014434772715088098,0.007090374390579257
2023-04-10,-0.016105570725359786,-0.009076629691769478
2023-04-11,0.0056555495987034065,0.00432505585614527
2023-04-12,0.011028449004415231,0.005574631421118581
2023-04-13,-0.006585253544789256,-0.004338441045041881
2023-04-14,0.0005964393642206548,0.0023038055586616286
2023-04-17,-0.0015403430794452288,0.005220361705896126
2023-04-18,-0.0016462217546502438,-0.0013285641798342922
2023-04-19,-0.00022589855675256775,-0.005736522177583714
2023-04-20,0.0024525364987978433,-0.0007566066842988039
2023-04-21,-0.029435116099290292,-0.022518601228743294
2023-04-24,-0.005361097205186523,-0.005612272598256696
2023-04-25,-0.012333332322581755,-0.01165446490322656
2023-04-26,-0.003045586604008667,0.0024452553698486525
2023-04-27,0.001993243516459966,0.002716752736449902
2023-04-28,0.02297479445316882,0.015593754588952123
2023-05-04,0.011039650057800157,0.008373087709801386
2023-05-05,-0.005430545356646742,-0.0050359758085545235
2023-05-08,0.006296464739392382,0.009050662681294508
2023-05-09,-0.008869311195351514,-0.00813052569747498
2023-05-10,-0.0031693853474453358,-0.0026412371632198103
2023-05-11,0.006215032330041913,0.0004394387934435648
2023-05-12,-0.01346962231974174,-0.010848810055853357
2023-05-15,0.0007677843540920111,0.00604162831816879
2023-05-16,-0.012545604622467529,-0.010018512690688342
2023-05-17,0.0030297882154995646,0.0015071258084916734
2023-05-18,0.004368139135632172,0.001615400400201712
2023-05-19,-0.0015507623611071965,-0.002926364877470316
2023-05-22,-0.0005376819905651399,0.000935183303622189
2023-05-23,-0.012379611590741411,-0.011655996948836893
2023-05-24,-0.007466720746817628,-0.009373267785289234
2023-05-25,-0.004503244474323936,-0.003745678000089809
2023-05-26,0.010146154229268586,0.007249866155771869
2023-05-29,0.0007510829794901296,-0.0004012752160332811
2023-05-30,0.005301793547347656,0.004431819633362928
2023-05-31,0.0012412612156119686,-0.0018925097543507773
2023-06-01,0.0019492147665203714,0.0008532151423719961
2023-06-02,0.007807221150730886,0.009740195830531432
