,port_ret,bench_ret
2023-01-06,0.0,0.0
2023-01-09,-0.0017852240493928528,-0.0007232975962091492
2023-01-10,-0.0007482031956374051,-0.0016460391861841599
2023-01-11,-0.005839364387775806,-0.004566361919992261
2023-01-12,-0.001744127256924111,-0.0003125632080762707
2023-01-13,0.01400773030869468,0.009221684472352332
2023-01-16,0.008300737079449894,0.010309682667972275
2023-01-17,-0.0020642805969350118,-0.0008159795940338052
2023-01-18,0.0014982932132920099,0.002883738399243015
2023-01-19,0.009761776734140982,0.007915524731365964
2023-01-20,0.007968043420959211,0.00918979034580316
2023-01-30,0.0035991747636241467,0.005438043804081527
2023-01-31,0.0012481118950982374,0.0016880813270695994
2023-02-01,0.012643752799607885,0.012810478580347402
2023-02-02,0.0025033929621858706,0.0004130170471169447
2023-02-03,-0.003256046765777947,-0.004440863943040959
2023-02-06,-0.0030996713455794245,-0.004508511660484493
2023-02-07,0.004303511118093073,0.0048525211503447725
2023-02-08,-0.0056934610183300965,-0.00660483649992322
2023-02-09,0.013849159582584562,0.012166227422199206
2023-02-10,-0.0011190997697307836,-0.00023339150008144647
2023-02-13,0.009643687295040282,0.008568089958202796
2023-02-14,0.0012071107266602502,0.0021525538255178253
2023-02-15,0.0012725107586306797,-0.00047764257281212425
2023-02-16,-0.012352018475977212,-0.01359181698156432
2023-02-17,-0.009448865052509678,-0.0061975111230668685
2023-02-20,0.019608694374456448,0.0184697013081474
2023-02-21,0.0036599371954768923,0.0066177450350786175
2023-02-22,-0.0015098947939491455,-0.0012751738628358617
2023-02-23,-0.006325702857199567,-0.0038784592304411418
2023-02-24,-0.0028587174290562304,-0.002981396408688487
2023-02-27,-0.0074908146201363435,-0.006017298407838267
2023-02-28,0.011731033325256282,0.009303265627049183
2023-03-01,0.013360123933935836,0.009979344175467116
2023-03-02,0.0003368685056189951,-9.112321109070143e-05
2023-03-03,-0.002580215646099278,0.002463136184688114
2023-03-06,-6.979571419984953e-05,-0.001613726202500665
2023-03-07,-0.0214125739871495,-0.016813658793494935
2023-03-08,0.006716391332019904,0.003491993535934819
2023-03-09,-0.0008339674082456088,-0.002020675890420879
2023-03-10,-0.010141606692894078,-0.013642127129532465
2023-03-13,0.009112296441657675,0.00789469966486922
2023-03-14,-0.010046296135239908,-0.009404756785488693
2023-03-15,0.003712401654337783,0.008291889323212134
2023-03-16,-0.011150925679598038,-0.012335339516856935
2023-03-17,0.010580650811272619,0.008810025932392919
2023-03-20,-0.002681512476142789,-0.0038586541398083485
2023-03-21,0.01571196468972628,0.009746473017865794
2023-03-22,0.010118243742495254,0.006384586825598689
2023-03-23,0.006534196582243831,0.004506249060659207
2023-03-24,0.003635364793037392,-0.0002440104310434555
2023-03-27,0.0028721782394438566,-0.001832935416822723
2023-03-28,-0.0034685918081670828,-0.0034310825286167027
2023-03-29,-0.0025413060820980633,-0.004248718759852381
2023-03-30,-0.002127112640246608,0.0010777681673880563
2023-03-31,0.01656868300788602,0.009913159757167849
2023-04-03,0.01376248160070448,0.01097332435064624
2023-04-04,-0.0017736428899527313,0.0014599824801010482
2023-04-06,-0.005786011079077488,-0.0012788748254172568
2023-04-07,0.012363954972481913,0.007090374390579257
2023-04-10,-0.01187990428423824,-0.009076629691769478
2023-04-11,0.005527530097940665,0.00432505585614527
2023-04-12,0.012788350829519585,0.005574631421118581
2023-04-13,-0.005717322912716138,-0.004338441045041881
2023-04-14,0.0006057290345803288,0.0023038055586616286
2023-04-17,-0.0017716805769844024,0.005220361705896126
2023-04-18,-0.003799215664717183,-0.0013285641798342922
2023-04-19,-0.0026131368485061476,-0.005736522177583714
2023-04-20,0.001438987812891028,-0.0007566066842988039
2023-04-21,-0.03064108458730505,-0.022518601228743294
2023-04-24,-0.00812477146453372,-0.005612272598256696
2023-04-25,-0.013942571391656684,-0.01165446490322656
2023-04-26,-0.003421873412587723,0.0024452553698486525
2023-04-27,0.0019798985883387075,0.002716752736449902
2023-04-28,0.02303457564978277,0.015593754588952123
2023-05-04,0.0059567097613597575,0.008373087709801386
2023-05-05,-0.004573214167185365,-0.0050359758085545235
2023-05-08,0.0057118865582193035,0.009050662681294508
2023-05-09,-0.00945750832419006,-0.00813052569747498
2023-05-10,-0.0038442969230987178,-0.0026412371632198103
