,rank_ic
2023-01-03,0.0987060249758163
2023-01-04,0.1560998397079352
2023-01-05,0.03594507728352147
2023-01-06,0.041628813212100144
2023-01-09,0.06576408071398052
2023-01-10,0.1328254105809216
2023-01-11,0.10038351950059014
2023-01-12,0.0648941366215915
2023-01-13,0.15610802410802413
2023-01-16,0.0714987354987355
2023-01-17,0.1396982356982357
2023-01-18,0.10175363375363378
2023-01-19,0.13282696882696884
2023-01-20,0.05234053634053634
2023-01-30,-0.023381579381579382
2023-01-31,0.021489802427678173
2023-02-01,0.042323397545842426
2023-02-02,0.11331785527005317
2023-02-03,0.06261294962296965
2023-02-06,0.11734541756185041
2023-02-07,0.014083578568548506
2023-02-08,-0.04373160735886186
2023-02-09,0.09816716917318118
2023-02-10,-0.035991346055474306
2023-02-13,-0.044481022104268596
2023-02-14,0.004142061901580939
2023-02-15,0.14110402185752882
2023-02-16,-0.018413970413970415
2023-02-17,-0.004503220503220504
2023-02-20,0.09757582957582958
2023-02-21,0.04544759744759745
2023-02-22,-0.08263070263070263
2023-02-23,-0.07944945144945145
2023-02-24,-0.02915550515550516
2023-02-27,-0.07861005061005062
2023-02-28,-0.0007649527649527649
2023-03-01,0.04937132537132537
2023-03-02,-0.002864954864954865
2023-03-03,-0.0712982272982273
2023-03-06,-0.040953976953976956
2023-03-07,-0.10087834087834088
2023-03-08,-0.11245609645609647
2023-03-09,-0.19714266972383204
2023-03-10,-0.14967466446352
2023-03-13,-0.11025403359271094
2023-03-14,-0.07908135269578316
2023-03-15,0.012277961328061526
2023-03-16,0.08312956242815961
2023-03-17,0.1067214413525893
2023-03-20,-0.04543289582167337
2023-03-21,-0.03521226446314335
2023-03-22,0.07239367624137162
2023-03-23,0.13082843882843884
2023-03-24,0.033730295425686195
2023-03-27,-0.10441487178561326
2023-03-28,-0.08691155283540053
2023-03-29,-0.14088513363062458
2023-03-30,-0.1109979574330543
2023-03-31,-0.08119625083341886
2023-04-03,-0.08986662576088165
2023-04-04,0.007039763183947239
2023-04-06,0.02018596788276569
2023-04-07,0.053139002685435165
2023-04-10,0.018132759203667317
2023-04-11,-0.01651846317506625
2023-04-12,-0.01961393396821927
2023-04-13,-0.07384563193271884
2023-04-14,-0.11936721626356242
2023-04-17,-0.13107233084788195
2023-04-18,-0.0375077280080868
2023-04-19,-0.026695219831743635
2023-04-20,0.018811367392179968
2023-04-21,-0.04840975379430423
2023-04-24,0.0027051507051507055
2023-04-25,-0.09475012487437336
2023-04-26,-0.10388306915579781
2023-04-27,0.00549257451196993
2023-04-28,0.014396191004324356
2023-05-04,0.03689141646656676
2023-05-05,0.12700380942064307
2023-05-08,0.26153163113456074
2023-05-09,0.15134315305168544
2023-05-10,0.06187051287281838
2023-05-11,0.1485599186360709
2023-05-12,0.1359021707077819
2023-05-15,0.161013414215819
2023-05-16,0.0694850000300902
2023-05-17,0.11482078872459633
2023-05-18,0.09993590272101156
2023-05-19,-0.007209982629226332
2023-05-22,-0.03263083225013103
2023-05-23,-0.02993696702714738
2023-05-24,-0.04620805575114192
2023-05-25,0.0036259064675898335
2023-05-26,-0.04842592091089084
2023-05-29,0.002253901195784963
2023-05-30,-0.055097674301980606
2023-05-31,0.022420961271581264
2023-06-01,-0.06867761263413148
2023-06-02,-0.08751133189176778
2023-06-05,0.004985560539938865
2023-06-06,-0.03491422349399085
2023-06-07,0.04762804723899589
2023-06-08,0.1449446039225598
2023-06-09,0.012210764340902248
2023-06-12,0.02428816255367256
2023-06-13,-0.0022959705885183717
2023-06-14,0.10657563631813421
2023-06-15,0.06977844955304388
2023-06-16,0.2100616424369246
2023-06-19,0.1940500529313059
2023-06-20,0.2583439792497908
2023-06-21,0.11939660702786951
2023-06-26,0.001184962749013619
2023-06-27,0.06907944417363253
2023-06-28,0.07122379293120774
2023-06-29,0.08884403284403285
2023-06-30,0.047688563688563695
2023-07-03,0.14320064754132888
2023-07-04,0.15159853641216364
2023-07-05,0.07638177255411724
2023-07-06,0.048829394524785304
2023-07-07,-0.012710196710196709
2023-07-10,0.03729064929064929
2023-07-11,0.08440526440526441
2023-07-12,0.08910001710001711
2023-07-13,0.1405777389218695
2023-07-14,0.14496950496950498
2023-07-17,0.03099099099099099
2023-07-18,0.05604995604995605
2023-07-19,0.12446958446958449
2023-07-20,0.08978306161873295
2023-07-21,0.048899064899064905
2023-07-24,-0.038560250560250565
2023-07-25,-0.1741760341760342
2023-07-26,-0.17467761067761067
2023-07-27,-0.16918966969723873
2023-07-28,-0.1486967446967447
2023-07-31,-0.10350503550503551
2023-08-01,-0.034886026886026884
2023-08-02,-0.01618220818220818
2023-08-03,0.15047285447285447
2023-08-04,0.10082248082248083
2023-08-07,0.03822107022107023
2023-08-08,-0.03794158994158995
2023-08-09,0.0032202392202392207
2023-08-10,0.027955191955191958
2023-08-11,0.024633336633336635
2023-08-14,0.038306390306390305
2023-08-15,0.06383403983403983
2023-08-16,0.010724362724362725
2023-08-17,0.01173902373902374
2023-08-18,-0.09288144888144889
2023-08-21,-0.04743742743742744
2023-08-22,0.0056035256035256035
2023-08-23,0.06897752097752098
2023-08-24,0.03972462372462372
2023-08-25,0.04664779064779065
2023-08-28,0.06945072945072946
2023-08-29,0.1010823890823891
2023-08-30,0.02753561153561154
2023-08-31,0.08356503556503557
2023-09-01,0.08591091791091791
2023-09-04,0.03928806328806329
2023-09-05,-0.06256989856989857
2023-09-06,-0.07450806250806251
2023-09-07,-0.101002385002385
2023-09-08,-0.024381600381600383
2023-09-11,-0.023630027630027632
2023-09-12,-0.09086200286200287
2023-09-13,-0.11602005211624447
2023-09-14,0.0014046614046614046
2023-09-15,-0.056125088125088124
2023-09-18,-0.06312044712044713
2023-09-19,-0.005593337593337594
2023-09-20,0.061979803450745316
2023-09-21,0.09050964650964652
2023-09-22,0.09532357132357132
2023-09-25,0.07941696741696742
2023-09-26,0.03953029553029553
2023-09-27,-0.006370674370674371
2023-09-28,-0.006358170358170359
2023-10-09,-0.05231356031356032
2023-10-10,-0.13642523485409255
2023-10-11,-0.10291169491169491
2023-10-12,-0.11006330606330607
2023-10-13,-0.0828902988902989
2023-10-16,-0.09355485355485356
2023-10-17,-0.013578845378444573
2023-10-18,0.013742329742329744
2023-10-19,0.014054342054342056
2023-10-20,0.11110168685719786
2023-10-23,0.1045818085818086
2023-10-24,0.06676284676284677
2023-10-25,0.0946518021027039
2023-10-26,0.08367886767886769
2023-10-27,0.023313611358306566
2023-10-30,-0.0003660843660843661
2023-10-31,-0.012416184416184417
2023-11-01,-0.022148705820048502
2023-11-02,-0.09065287865287866
2023-11-03,-0.028068581607659755
2023-11-06,0.056991848991848996
2023-11-07,0.03396426996426997
2023-11-08,0.11270920070920072
2023-11-09,0.16020942420942422
2023-11-10,0.1438895518895519
2023-11-13,0.10760552360552361
2023-11-14,0.03681928881928882
2023-11-15,0.10544853344853346
2023-11-16,-0.04060450060450061
2023-11-17,0.053122229122229116
2023-11-20,0.14361620404705266
2023-11-21,0.15887183087183088
2023-11-22,0.10503485048174424
2023-11-23,0.2325617601569505
2023-11-24,0.15476107771097747
2023-11-27,0.0297068732058712
2023-11-28,-0.04228566711406011
2023-11-29,-0.016317695390055044
2023-11-30,-0.05591825275123666
2023-12-01,-0.046956114451184826
2023-12-04,-0.013525317205898026
2023-12-05,-0.09188803599892578
2023-12-06,-0.018350231417143
2023-12-07,0.05860097371921018
2023-12-08,0.066404808798322
2023-12-11,0.06551243000661486
2023-12-12,0.10606477820505875
2023-12-13,-0.03951537951537952
2023-12-14,0.040527316527316525
2023-12-15,0.124992627596632
2023-12-18,-0.0033250510882673378
2023-12-19,0.009229233241257287
2023-12-20,-0.05711120111120111
2023-12-21,-0.004607176607176608
